[2026-04-10T13:38:27.470Z] GET https://www.helius.dev/docs/_next/static/chunks/3351-b1a2b1ce24ac5cbd.js?dpl=dpl_4nQWUsgp6D263oDhcZWziDXvnUvT → pending (?ms, ?B)
[2026-04-10T13:38:27.470Z] GET https://www.helius.dev/docs/_next/static/chunks/app/%255Fsites/%5Bsubdomain%5D/not-found-fe74b2c1155d31b5.js?dpl=dpl_4nQWUsgp6D263oDhcZWziDXvnUvT → pending (?ms, ?B)
[2026-04-10T13:38:27.470Z] GET https://www.helius.dev/docs/_next/static/chunks/app/%255Fsites/%5Bsubdomain%5D/error-78fd09985dca31de.js?dpl=dpl_4nQWUsgp6D263oDhcZWziDXvnUvT → pending (?ms, ?B)
[2026-04-10T13:38:27.470Z] GET https://www.helius.dev/docs/_next/static/chunks/17551-1b8c27aef2ae3074.js?dpl=dpl_4nQWUsgp6D263oDhcZWziDXvnUvT → pending (?ms, ?B)
[2026-04-10T13:38:27.470Z] GET https://www.helius.dev/docs/_next/static/chunks/app/%255Fsites/%5Bsubdomain%5D/(multitenant)/%5B%5B...slug%5D%5D/page-5e5fed2a491189ae.js?dpl=dpl_4nQWUsgp6D263oDhcZWziDXvnUvT → pending (?ms, ?B)
[2026-04-10T13:38:27.470Z] GET https://www.helius.dev/docs/_next/static/chunks/8923-04dfa37fdc05749d.js?dpl=dpl_4nQWUsgp6D263oDhcZWziDXvnUvT → pending (?ms, ?B)
[2026-04-10T13:38:27.470Z] GET https://www.helius.dev/docs/_next/static/chunks/app/%255Fsites/%5Bsubdomain%5D/(multitenant)/%40topbar/%5B%5B...slug%5D%5D/page-53c83173342ebe28.js?dpl=dpl_4nQWUsgp6D263oDhcZWziDXvnUvT → pending (?ms, ?B)
[2026-04-10T13:38:27.470Z] GET https://www.helius.dev/docs/_next/static/chunks/app/%255Fsites/%5Bsubdomain%5D/(multitenant)/not-found-ba5fe2ad2a1d57ef.js?dpl=dpl_4nQWUsgp6D263oDhcZWziDXvnUvT → pending (?ms, ?B)
[2026-04-10T13:38:27.470Z] GET https://www.helius.dev/docs/_next/static/chunks/50528.a008835b58c523ea.js?dpl=dpl_4nQWUsgp6D263oDhcZWziDXvnUvT → pending (?ms, ?B)
[2026-04-10T13:38:27.470Z] GET https://jiz6tlwg28uaztou.public.blob.vercel-storage.com/docs/lausanne-450-Xv6JlhB8OudFw8Xb2zwoQodc86f35H.woff2 → pending (?ms, ?B)
[2026-04-10T13:38:27.470Z] GET https://fonts.googleapis.com/css2?family=Geist:ital,wght@0,400;0,500;0,600;0,700;0,800;1,400;1,500;1,600;1,700;1,800&display=swap → pending (?ms, ?B)
[2026-04-10T13:38:27.958Z] GET https://mintcdn.com/helius/RGuN9Tphu9J_7kRM/images/hero-light.png?w=840&fit=max&auto=format&n=RGuN9Tphu9J_7kRM&q=85&s=3d091e5a7e738bfa66edca0d4de13e40 → pending (?ms, ?B)
[2026-04-10T13:38:32.419Z] GET https://static.cloudflareinsights.com/beacon.min.js/v8c78df7c7c0f484497ecbca7046644da1771523124516 → pending (?ms, ?B)
